Number,Relevance,Publication No.,Title,Application Date,Filing Date,Publication Date,Assignee,URL
1,0.9946551209316213,US11228028B2,,2018-12-24,2018-12-24,2022-01-18,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,https://patents.google.com/patent/US11228028B2
2,0.9600875883348263,US11251359B2,Piezoelectric capacitor,2017-12-14,2017-12-14,2022-02-15,EASTMAN KODAK CO,https://patents.google.com/patent/US11251359B2
3,0.9178660296605953,US11295901B2,Hybrid electrode materials for bipolar capacitor-assisted solid-state batteries,2019-08-15,2019-08-15,2022-04-05,GM GLOBAL TECHNOLOGY OPERATIONS LLC,https://patents.google.com/patent/US11295901B2
4,0.879486413854882,US11296249B2,"Photosensitive device and manufacturing method thereof, detection substrate and array substrate",2020-03-09,2020-03-09,2022-04-05,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11296249B2
5,0.8791579575992833,US11251416B2,MAGHEMITE-CONTAINING CATHODE FOR LITHIUM-SULFUR BATTERY AND LITHIUM-SULFUR BATTERY COMPRISING SAME,2018-10-15,2018-10-15,2022-02-15,LG ENERGY SOLUTION LTD,https://patents.google.com/patent/US11251416B2
6,0.8705981885139843,US11342559B2,Battery with polyvalent metal anode,2016-06-08,2016-06-08,2022-05-24,IONIC MATERIALS INC,https://patents.google.com/patent/US11342559B2
7,0.8464417238976809,US11251480B2,Miniature electrochemical cell having a casing of a conductive plate closing an open-ended ceramic container having two via holes supporting opposite polarity platinum-containing conductive pathways,2019-10-17,2019-10-17,2022-02-15,GREATBATCH LTD,https://patents.google.com/patent/US11251480B2
8,0.8379018612521151,US11251418B2,Method for manufacturing slurry for positive electrode of nonaqueous electrolyte secondary battery and slurry for positive electrode of nonaqueous electrolyte secondary battery,2018-02-20,2018-02-20,2022-02-15,"NIHON SPINDLE MANUFACTURING CO LTD, NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TECHNOLOGY",https://patents.google.com/patent/US11251418B2
9,0.834627251915995,US11292029B2,Dynamic glass and method of formation,2018-07-19,2018-07-19,2022-04-05,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,https://patents.google.com/patent/US11292029B2
10,0.7962277296705483,US11260419B2,Method for coating a structure with a fusion bonded material,2019-03-01,2019-03-01,2022-03-01,INNOVATION CALUMET LLC,https://patents.google.com/patent/US11260419B2
11,0.7700607146411863,US11251208B2,"Photosensor, display apparatus, and method of fabricating photosensor",2019-03-18,2019-03-18,2022-02-15,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11251208B2
12,0.746013735443416,US11309459B2,Optoelectronic semiconductor device and method of operating an optoelectronic semiconductor device,2018-04-16,2018-04-16,2022-04-19,OSRAM OLED GMBH,https://patents.google.com/patent/US11309459B2
13,0.7346272519159949,US11309514B2,OLED substrate and OLED display apparatus,2019-05-13,2019-05-13,2022-04-19,"HEFEI XINSHENG OPTOELECTRONICS TECHNOLOGY CO LTD, BOE TECHNOLOGY GROUP CO LTD",https://patents.google.com/patent/US11309514B2
14,0.7192694336617896,US11269464B2,Electronic pen and cartridge for electronic pen,2021-04-14,2021-04-14,2022-03-08,WACOM CO LTD,https://patents.google.com/patent/US11269464B2
15,0.7117945655419528,US11296314B2,"Negative electrode material, non-aqueous electrolyte secondary battery, and method of producing the same",2019-02-28,2019-02-28,2022-04-05,TOYOTA JIDOSHA KABUSHIKI KAISHA,https://patents.google.com/patent/US11296314B2
16,0.7096446700507615,US11269462B2,Electrostatic capacitance-type sensor-equipped display device and method of driving the same,2018-11-27,2018-11-27,2022-03-08,JAPAN DISPLAY INC,https://patents.google.com/patent/US11269462B2
17,0.7009455558873295,US11296323B2,Positive electrode for lithium secondary battery and lithium secondary battery comprising same,2017-10-31,2017-10-31,2022-04-05,SAMSUNG SDI CO LTD,https://patents.google.com/patent/US11296323B2
18,0.6964865133870807,US11296374B2,Metal-air battery,2018-01-31,2018-01-31,2022-04-05,SHARP KABUSHIKI KAISHA,https://patents.google.com/patent/US11296374B2
19,0.6885139842739125,US11275115B2,Organic light emitting display device and method of manufacturing the same,2019-07-15,2019-07-15,2022-03-15,LG DISPLAY CO LTD,https://patents.google.com/patent/US11275115B2
20,0.6876181944859162,US11251415B2,"Storage battery electrode, manufacturing method thereof, storage battery, electronic device, and graphene",2019-12-27,2019-12-27,2022-02-15,SEMICONDUCTOR ENERGY LABORATORY CO LTD,https://patents.google.com/patent/US11251415B2
21,0.6842241465113964,US11227982B2,Deep molded reflector cup used as complete LED package,2014-12-23,2014-12-23,2022-01-18,LUMILEDS LLC,https://patents.google.com/patent/US11227982B2
22,0.6814969642679406,US11342181B2,Semiconductor devices and methods of manufacture,2020-10-15,2020-10-15,2022-05-24,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,https://patents.google.com/patent/US11342181B2
23,0.6781526823927541,US11251464B2,All solid state battery and method for producing all solid state battery,2019-07-11,2019-07-11,2022-02-15,TOYOTA JIDOSHA KABUSHIKI KAISHA,https://patents.google.com/patent/US11251464B2
24,0.6780033840947547,US11251430B2,ϵ-VOPO4 cathode for lithium ion batteries,2019-03-04,2019-03-04,2022-02-15,THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,https://patents.google.com/patent/US11251430B2
25,0.6759231611426296,US11309574B2,Systems and methods for electrical energy storage,2015-11-20,2015-11-20,2022-04-19,"LAWRENCE LIVERMORE NATIONAL SECURITY LLC, BOARD OF REGENTS THE UNIVERSITY OF TEXAS SYSTEM",https://patents.google.com/patent/US11309574B2
26,0.6724494874091769,US11296322B2,"Single-layer and multilayer graphene, method of manufacturing the same, object including the same, and electric device including the same",2020-04-30,2020-04-30,2022-04-05,SEMICONDUCTOR ENERGY LABORATORY CO LTD,https://patents.google.com/patent/US11296322B2
27,0.6675425500149298,US11251250B2,Display substrate and display device each including blocking part,2019-07-08,2019-07-08,2022-02-15,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11251250B2
