Appl_Type,Appl_No,Product_No,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Delist_Flag,Submission_Date
N,20610,1,7625884,"Aug 24, 2026",,,U-141,,
N,18613,1,7560445,"Feb 1, 2027",Y,Y,U-986,,
N,19734,2,8455524,"Apr 18, 2027",,,U-1029,,"Jun 27, 2013"
N,19734,5,8455524,"Apr 18, 2027",,,U-1029,,
N,20832,7,7422388,"Apr 25, 2027",,Y,U-1397,,
N,20835,5,7192938,"May 6, 2023",,,U-353,,
N,20845,2,8431163,"Jun 30, 2029",,,U-1286,,"May 1, 2013"
N,20845,3,8282966,"Jun 30, 2029",,,U-1286,,
N,20845,3,8293284,"Jun 30, 2029",,,U-1286,,
N,20850,2,8003679,"Oct 6, 2022",,,U-1176,,"Sep 9, 2011"
N,20908,2,7018992,"Sep 17, 2022",,,U-1023,,
N,21038,2,8455527,"Jan 4, 2032",,,U-421,,
N,21038,3,8455527,"Jan 4, 2032",,,U-421,,
N,21400,3,8273876,"Jul 23, 2027",,,U-1288,,
N,21453,1,7135465,"Feb 18, 2023",,Y,U-167,,
N,21453,4,7135465,"Feb 18, 2023",,Y,U-167,,
N,21454,1,7608606,"Apr 21, 2023",,,U-1009,,
N,21454,1,7608608,"Apr 21, 2023",,,U-1009,,
N,21454,1,7608610,"Apr 21, 2023",,,U-1009,,
N,21454,1,8063029,"Apr 21, 2023",,,U-843,,"Dec 8, 2011"
N,21455,2,7192938,"May 6, 2023",,,U-798,,
N,21455,2,7718634,"May 6, 2023",,,U-642,,
N,21528,1,8008338,"May 24, 2027",Y,Y,U-1181,,"Sep 23, 2011"
N,21528,1,8377982,"May 28, 2024",,,U-1363,,"Mar 18, 2013"
N,21539,1,8399445,"Aug 24, 2025",,,U-1373,,"Mar 28, 2013"
N,21551,3,7291324,"Oct 22, 2022",,,U-837,,
N,21572,2,8003673,"Sep 4, 2028",,,U-1180,,"Sep 23, 2011"
N,21610,1,7276250,"Feb 4, 2023",,Y,U-826,,
N,21176,1,7229613,"Apr 17, 2022",,,U-851,,
N,21223,2,8324189,"May 29, 2025",,,U-1308,,"Dec 21, 2012"
N,21223,3,8324189,"May 29, 2025",,,U-1308,,"Dec 21, 2012"
N,21301,6,7101569,"Oct 2, 2023",,,U-759,,
N,21301,8,7101569,"Oct 2, 2023",,,U-759,,
N,21301,10,7101569,"Oct 2, 2023",,,U-759,,
N,21398,1,7320976,"Apr 19, 2022",,,U-849,,
N,21398,1,8133890,"Apr 19, 2022",,,U-1235,,"Apr 2, 2012"
N,21610,6,7276250,"Feb 4, 2023",,Y,U-826,,
N,21633,2,7572779,"Oct 2, 2025",,,U-904,,
N,208351,1,9296769,"Aug 15, 2032",Y,Y,U-257,,"Apr 19, 2016"
N,22406,1,7157456,"Aug 28, 2024",Y,Y,U-1302,,"Aug 4, 2011"
N,21660,1,8034375,"Aug 13, 2026",,,U-1290,,"Oct 24, 2012"
N,21660,1,8314156,"Dec 9, 2023",,,U-1290,,"Nov 28, 2012"
N,21669,1,7595021,"May 12, 2023",,Y,U-1022,,
N,21669,1,7935093,"Oct 2, 2027",,Y,U-1022,,"May 24, 2011"
N,21688,1,7829595,"Sep 22, 2026",,Y,U-1098,,"Dec 2, 2010"
N,21688,2,7829595,"Sep 22, 2026",,Y,U-1098,,
N,202880,1,9326982,"Jul 25, 2033",,,U-1810,,"May 4, 2016"
N,21710,1,6977253,"May 19, 2024",,,U-693,,
N,21710,2,6977253,"May 19, 2024",,,U-693,,
N,202880,3,9326982,"Jul 25, 2033",,,U-1810,,"May 4, 2016"
N,202880,4,9326982,"Jul 25, 2033",,,U-1810,,"May 4, 2016"
N,202880,5,9326982,"Jul 25, 2033",,,U-1810,,"May 4, 2016"
N,21695,5,9314447,"May 31, 2033",,Y,U-1447,,"May 2, 2016"
N,208251,1,8932610,"Mar 24, 2030",,Y,U-1578,,"May 9, 2016"
N,22350,2,RE44186,"Jul 31, 2023",Y,Y,U-995,,
N,200678,3,RE44186,"Jul 31, 2023",Y,Y,U-1838,,"May 24, 2013"
N,22350,1,RE44186,"Jul 31, 2023",Y,Y,U-1837,,"May 24, 2013"
N,22350,1,RE44186,"Jul 31, 2023",Y,Y,U-995,,"May 24, 2013"
N,200678,1,RE44186,"Jul 31, 2023",Y,Y,U-1838,,"May 24, 2013"
N,200678,1,RE44186,"Jul 31, 2023",Y,Y,U-1097,,"May 24, 2013"
N,202611,1,RE44872,"Nov 4, 2023",,,U-1527,,"Jul 16, 2014"
N,21753,1,7834060,"Mar 12, 2023",,,U-1078,,"Nov 19, 2010"
N,21758,1,7794738,"Sep 11, 2022",,,U-1084,,
N,21777,1,7829121,"Nov 14, 2023",,,U-1088,,
N,21778,1,7101576,"Apr 22, 2024",,,U-755,,
N,21789,1,7348317,"Feb 21, 2022",,Y,U-743,,
N,21817,1,8052987,"Oct 27, 2023",,,U-1199,,
N,21829,1,8246979,"Sep 1, 2027",,Y,U-1272,,"Sep 11, 2012"
N,21829,4,8246979,"Sep 1, 2027",,Y,U-1272,,
N,21829,5,8246979,"Sep 1, 2027",,Y,U-1273,,
N,21829,6,8246979,"Sep 1, 2027",,Y,U-1273,,
N,21840,1,7615545,"Jun 15, 2023",,,U-1,,
N,21856,2,8372872,"Sep 8, 2031",,,U-1346,,
N,21861,1,8399508,"Sep 17, 2022",,,U-726,,"Mar 26, 2013"
N,21862,1,7834059,"Jan 31, 2027",,,U-1095,,"Nov 30, 2010"
N,21879,1,8227484,"Jul 17, 2023",,,U-1093,,"Aug 1, 2012"
N,21897,1,7919499,"Oct 15, 2029",,,U-1124,,"May 16, 2011"
N,21897,1,7919499,"Oct 15, 2029",,,U-1123,,"May 16, 2011"
N,21902,1,7858662,"Oct 2, 2026",,Y,U-172,,"Aug 3, 2011"
N,22108,2,7569610,"Jun 27, 2026",,,U-997,,
N,22110,1,6635618,"Sep 11, 2023",Y,Y,U-728,,
N,22118,2,8124125,"Oct 1, 2024",,Y,U-1234,,
N,22128,2,7368460,"Nov 25, 2022",,,U-824,,
N,22154,1,7858594,"Sep 11, 2023",Y,Y,U-999,,
N,22184,1,8309605,"Mar 16, 2025",,,U-1293,,"Nov 16, 2012"
N,22202,1,7884095,"Feb 24, 2029",,,U-1111,,"Feb 22, 2011"
N,22202,1,8110606,"Feb 24, 2029",,,U-980,,"Feb 13, 2012"
N,22244,1,6204257,"Jul 1, 2022",Y,Y,U-945,,
N,22249,2,8445524,"Mar 26, 2029",Y,Y,U-1402,,"Jun 4, 2013"
N,22252,1,8153616,"Jan 30, 2028",,,U-1240,,"May 9, 2012"
N,22256,1,7994220,"Sep 19, 2029",,,U-819,,"Sep 1, 2011"
N,22256,2,7994220,"Sep 19, 2029",,,U-819,,
N,22256,3,7994220,"Sep 19, 2029",,,U-819,,
N,22256,4,7994220,"Sep 19, 2029",,,U-819,,
N,22262,1,7615545,"Jun 15, 2023",,,U-1,,
N,22271,1,7807689,"Jun 27, 2028",Y,Y,U-1337,,
N,22271,3,7807689,"Jun 27, 2028",Y,Y,U-1337,,
N,203510,2,8859623,"Nov 14, 2033",,,U-1594,,"Oct 17, 2014"
N,22273,1,7148207,"Dec 20, 2022",,Y,U-944,,
N,22287,1,8173158,"Mar 17, 2030",,,U-951,,"Jun 1, 2012"
N,22287,1,8173158,"Mar 17, 2030",,,U-949,,"Jun 1, 2012"
N,22287,2,8173158,"Mar 17, 2030",,,U-951,,
N,22287,2,8173158,"Mar 17, 2030",,,U-950,,
N,22287,2,8173158,"Mar 17, 2030",,,U-949,,
N,203093,1,7635704,"Oct 26, 2026",Y,Y,U-257,,"Oct 17, 2014"
N,203093,2,7635704,"Oct 26, 2026",Y,Y,U-257,,"Oct 17, 2014"
N,201699,1,8859510,"Jul 31, 2027",,,U-319,,"Nov 5, 2014"
N,22511,1,8858996,"May 31, 2022",,Y,U-1052,,"Oct 29, 2014"
N,22511,2,8852636,"May 31, 2022",,Y,U-1052,,"Oct 29, 2014"
N,50819,2,8288434,"Aug 5, 2029",,Y,U-818,,"Dec 3, 2014"
N,50819,2,8288434,"Aug 5, 2029",,Y,U-124,,"Dec 3, 2014"
N,22249,4,8791270,"Jan 12, 2026",,Y,U-1542,,"Dec 9, 2014"
N,22569,1,8889176,"Jan 16, 2024",,,U-767,,"Dec 12, 2014"
N,50819,2,8288434,"Aug 5, 2029",,Y,U-134,,"Dec 3, 2014"
N,203565,1,8895612,"Jan 8, 2027",,,U-1620,,"Dec 17, 2014"
N,22304,2,7994364,"Jun 27, 2025",Y,Y,U-931,,
N,22304,3,RE39593,"Aug 5, 2022",Y,Y,U-931,,"Jul 21, 2011"
N,22309,2,8466137,"Oct 12, 2026",,,U-1103,,"Jun 24, 2013"
N,22311,1,7897590,"Jul 22, 2023",,,U-936,,"Mar 22, 2011"
N,22315,1,8034366,"Jan 9, 2023",,Y,U-1205,,"Dec 23, 2011"
N,22320,1,7964202,"Sep 1, 2024",,Y,U-1078,,"Jun 23, 2011"
N,22320,1,8080537,"Jul 18, 2027",,,U-1078,,"Dec 21, 2011"
N,22320,1,8129362,"Jul 18, 2027",,,U-1078,,"Apr 4, 2012"
N,22328,1,7658945,"Apr 15, 2027",,Y,U-1194,,"Nov 29, 2011"
N,22352,1,7619004,"Dec 3, 2028",,,U-1020,,
N,22352,1,7820681,"Feb 17, 2029",,,U-1020,,
N,22352,1,7915269,"Feb 17, 2029",,,U-1007,,
N,22352,1,7964647,"Oct 6, 2028",,,U-1007,,"Jun 24, 2011"
N,22352,1,8093297,"Oct 6, 2028",,,U-1161,,"Jan 13, 2012"
N,22352,1,8097655,"Oct 6, 2028",,,U-1020,,"Jan 27, 2012"
N,22352,1,8415396,"Oct 6, 2028",,,U-1007,,"May 8, 2013"
N,22352,1,8440722,"Feb 17, 2029",,,U-1020,,"Jun 10, 2013"
N,21908,1,7064148,"Aug 30, 2022",,,U-1404,,
N,21908,1,8097653,"Nov 14, 2022",,,U-1394,,"Jan 18, 2012"
N,21908,1,8097653,"Nov 14, 2022",,,U-1214,,"Jan 18, 2012"
N,21908,1,8389542,"Nov 14, 2022",,Y,U-1345,,"Feb 22, 2013"
N,21908,2,7064148,"Aug 30, 2022",,,U-873,,
N,21910,1,7300674,"Mar 4, 2023",,Y,U-785,,
N,21964,1,8420663,"Sep 30, 2029",,,U-1185,,"Apr 24, 2013"
N,21964,2,8420663,"Sep 30, 2029",,,U-1185,,
N,21964,3,8420663,"Sep 30, 2029",,,U-1185,,
N,21977,1,7659254,"Feb 24, 2023",,,U-1034,,
N,21977,1,7671030,"Feb 24, 2023",,Y,U-727,,
N,21977,1,7723305,"Feb 24, 2023",,Y,U-842,,
N,21977,2,7659254,"Feb 24, 2023",,,U-1034,,
N,21977,2,7671030,"Feb 24, 2023",,Y,U-727,,
N,21977,2,7718619,"Feb 24, 2023",,Y,U-842,,
N,21977,3,7662788,"Feb 24, 2023",,,U-727,,
N,205065,2,8067416,"Nov 17, 2024",,,U-1589,,"Nov 24, 2015"
N,21977,3,7713936,"Feb 24, 2023",,,U-727,,
N,21977,3,7723305,"Feb 24, 2023",,Y,U-842,,
N,21977,4,7659253,"Feb 24, 2023",Y,Y,U-727,,
N,21977,4,7671030,"Feb 24, 2023",,Y,U-727,,"Mar 6, 2012"
N,207533,2,9452131,"Mar 19, 2035",,,U-2402,,"Oct 5, 2016"
N,203100,1,8633219,"Apr 30, 2030",,Y,U-257,,"Jan 24, 2014"
N,207533,3,9452131,"Mar 19, 2035",,,U-2402,,"Oct 5, 2016"
N,21977,4,7718619,"Feb 24, 2023",,Y,U-842,,"Mar 6, 2012"
N,21977,4,7723305,"Feb 24, 2023",,Y,U-842,,"Mar 6, 2012"
N,202834,1,6949571,"Jun 8, 2023",Y,Y,U-2429,,"Nov 19, 2012"
N,21977,5,7659253,"Feb 24, 2023",Y,Y,U-727,,
N,21977,5,7659254,"Feb 24, 2023",,,U-1034,,
N,21977,5,7662788,"Feb 24, 2023",,,U-727,,
N,21977,5,7671030,"Feb 24, 2023",,Y,U-727,,
